No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Forward P/E,PEG,P/S,P/B,P/Cash,P/Free Cash Flow,Dividend Yield,Payout Ratio,EPS (ttm),EPS growth this year,EPS growth next year,EPS growth past 5 years,EPS growth next 5 years,Sales growth past 5 years,EPS growth quarter over quarter,Sales growth quarter over quarter,Shares Outstanding,Shares Float,Insider Ownership,Insider Transactions,Institutional Ownership,Institutional Transactions,Float Short,Short Ratio,Return on Assets,Return on Equity,Return on Investment,Current Ratio,Quick Ratio,LT Debt/Equity,Total Debt/Equity,Gross Margin,Operating Margin,Profit Margin,Performance (Week),Performance (Month),Performance (Quarter),Performance (Half Year),Performance (Year),Performance (Year),Beta,Average True Range,Volatility (Week),Volatility (Month),20-Day Simple Moving Average,50-Day Simple Moving Average,200-Day Simple Moving Average,50-Day High,50-Day Low,52-Week High,52-Week Low,Relative Strength Index (14),Change from Open,Gap,Analyst Recom,Average Volume,Relative Volume,Price,Change,Volume,Earnings Date
11,AAT,"American Assets Trust, Inc.",Financial,REIT - Office,USA,1134.21,168.35,,24.94,4.86,1.84,32.48,,2.94,531.32,0.17,-596.57,9.9,0,6.75,13.18,320.81,11.62,39.63,39.16,0.51,10.98,86.96,1,1.92,5.68,0.6,1.12,0.65,,,1.58,1.81,71.94,29.28,4.57,0.67,4.87,4.53,16.77,38.6,2.47,,0.45,1.13,1.54,1.06,4,11.81,-1.48,15.97,-1.48,40.66,57.79,-0.14,0.24,1.8,132.44,1.77,28.62,0.1,234744,2/19/2013 16:30
12,AAU,Almaden Minerals Ltd.,Basic Materials,Industrial Metals & Minerals,Canada,164.83,27.6,,,568.37,3.29,7.95,,,0,0.1,288.18,,,,-21.55,-162.06,95.23,59.72,54.9,5.36,,5.89,177.51,0.6,1.71,10.98,11.08,11.08,146.26,144.48,0,0,,-2338.25,1787.92,-12.38,-12.66,7.81,46.03,4.55,-12.93,1,0.13,5.16,4.03,-10.46,-6.71,12.03,-16.36,10.84,-17.12,78.06,38.87,-3.83,-0.35,,192.71,0.74,2.76,-4.17,142046,
13,AAV,Advantage Oil & Gas Ltd.,Basic Materials,Oil & Gas Drilling & Exploration,Canada,498.4,,,,2.03,0.44,,,,,-1.04,-471.52,48.8,-8.63,,-3.08,8.9,-27.14,168.38,167.08,0.25,,58.04,4.01,0.39,2.7,-8.34,-14.49,-9.93,1.52,,0.31,0.31,64.1,-89.43,-68.12,-7.79,-8.36,-17.55,-14.45,-20.22,-8.64,1.9,0.08,2.82,2.69,-7.21,-9.66,-10.72,-15.67,-0.67,-29.52,19.84,30.41,-1,-0.33,3,239.06,0.94,2.96,-1.33,224828,3/16/2011
14,AAWW,Atlas Air Worldwide Holdings Inc.,Services,"Air Services, Other",USA,1237.39,11.17,9.23,1.31,0.78,1.01,3.81,6.94,,0,4.19,-33.1,8.33,5.12,8.5,-1.08,19.46,12.78,26.44,26,0.71,-13.78,,-5.43,2.58,2.87,4.46,9.54,5.11,1.62,,0.74,0.85,73.11,12.15,6.94,1.36,5.05,-10.64,8.74,5.45,5.6,2.36,1.24,2.15,2.9,3.41,7.13,-0.85,-0.99,19.08,-17.89,19.08,60.74,-0.26,0.21,2.1,233.77,1.15,46.8,-0.04,269377,2/13/2013
15,AAXJ,iShares MSCI All Country Asia ex Jpn Idx,Financial,Exchange Traded Fund,USA,2024.62,,,,,,,,1.5,,,,,,,,,,33.8,33.8,,,,,0.75,0.62,,,,,,,,,,,-1.9,1.27,8.2,18.87,9.97,-1.02,1.29,0.53,0.58,0.68,-1.41,1.61,9.4,-3.29,9.68,-3.29,24.36,47.74,-0.37,-0.22,,406.64,2.34,59.9,-0.58,951921,
16,AB,AllianceBernstein Holding L.P.,Financial,Asset Management,USA,2138.11,,14.02,,,1.33,,791.89,7.08,,-1.72,-168.36,19.83,-24.63,6.25,,-187.24,-148.7,105.17,103.45,1.2,-21.22,29.22,-0.19,0.59,1.53,-10.35,-10.38,-10.37,,,0,0,,,,1.45,20.37,32.18,78.18,46.68,16.64,1.8,0.44,2.25,2.28,5.4,12.99,38.99,-2.31,29.66,-2.31,84.82,70.23,-2.21,0.78,2.4,401.41,0.82,20.33,-1.45,328833,2/12/2013
17,ABAX,Abaxis Inc.,Healthcare,Diagnostic Substances,USA,870.1,37.75,36.37,2.52,5.22,4.86,11.03,51.67,,0,1.05,-8.36,43.42,4.8,15,12.68,293.21,10.58,21.95,20.83,4.99,-8.37,90.25,1.07,9.06,18.15,12.3,14.25,13.88,6.17,5.3,0,0,53.84,21.9,13.98,1.28,6.65,12.14,11.95,41.32,6.85,1.14,1.08,2.57,2.93,2.95,6.44,12.45,-2.8,17.73,-2.8,59.28,59.34,0.28,-0.93,2.1,103.96,0.53,39.64,-0.65,55320,1/31/2013 16:30
18,ABB,ABB Ltd.,Industrial Goods,Industrial Electrical Equipment,Switzerland,49280.82,16.76,14.1,1.45,1.27,2.94,9.08,28.45,3.29,0,1.27,23.83,22.76,14.96,11.6,10.29,-3.72,4.37,2314.74,2293.12,,,4.08,-0.38,0.19,2.48,7,17.99,12.2,1.44,1.07,0.42,0.55,29.44,11.1,7.84,0.71,3.15,12.59,34.32,4.93,2.41,1.48,0.26,0.88,1.08,1.05,5.87,16.65,-1.3,21.73,-1.3,39.52,63,-0.42,0.23,2,1794.63,0.87,21.29,-0.19,1554754,2/17/2011
19,ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - Major,USA,,,11.98,,,,,,4.34,,,,-18.1,0,15,,12753.7,2.3,,,,,,,,,,,,,,,,,,,-1.15,,,,,6.28,,0.96,2.79,,4.75,4.75,4.75,-4.23,12,-4.23,12,,-2.48,0.61,2.3,14926.32,0.48,36.89,-1.89,7133238,1/30/2013
20,ABC,AmerisourceBergen Corporation,Services,Drugs Wholesale,USA,10409.13,16.29,12.82,,0.13,4.33,24.94,33.76,1.86,,2.77,10.01,12.46,16.88,,3.89,13.06,5.68,230.75,230.34,0.16,15.66,93.3,0.27,3.35,3.25,4.51,27.11,16.26,0.96,0.44,0.6,0.6,3.42,1.56,0.88,-1.61,4.62,13.57,19.91,15.37,4.47,0.73,0.63,1.92,1.36,1.69,4.84,14.92,-3.18,13.64,-3.18,28.71,60.6,0.11,0.07,2,2373.58,0.86,45.11,0.18,2040896,1/24/2013 8:30
21,ABCB,Ameris Bancorp,Financial,Regional - Mid-Atlantic Banks,USA,313.95,41.19,13.05,4.58,2.32,1.05,5.48,,,0,0.32,315.86,188.57,-14.16,9,2.59,-93.24,-9.02,23.82,23.16,2.04,11.47,67.11,-0.06,5.48,25.27,0.37,3.1,,,,0.14,0.2,,9.52,6.4,1.54,6.46,10.48,13.52,21.03,5.52,1.47,0.23,1.65,1.77,2.62,9.35,9.33,-0.83,29.09,-2.3,29.09,78.31,0.08,-0.08,2.3,50.23,1.41,13.18,0,70954,1/21/2013
22,ABCD,"Cambium Learning Group, Inc.",Services,Education & Training Services,USA,63.74,,,,0.44,1.43,1.81,,,,-1.83,-197.75,63.1,0,,8.41,-169.76,-13.13,48.29,17.17,0.05,-97.73,21.95,0.09,0.15,1.1,-24.91,-100.61,-30.39,1.45,1.18,3.97,4,48.35,-51.01,-62.82,3.94,-2.22,40.43,22.22,-58.88,18.92,2.1,0.11,7.83,8.19,8.96,19.26,8.23,-12,62.96,-60.36,127.59,59.88,10,-1.64,2,23.85,0.61,1.32,8.2,14657,11/8/2012
23,ABCO,Advisory Board Co.,Services,Business Services,USA,1893.36,75.5,36,3.78,4.58,7.55,19.88,29.34,,0,0.72,19.72,21.77,-1.31,20,14.3,37.09,21.09,34.83,34.72,0.34,-20.21,,0.14,4.19,8.09,4.19,11.95,9.43,1.03,,0,0,45.48,10.8,7.07,2.97,12.57,17.28,21.61,37.24,16.18,0.55,1.1,2.01,2.15,6.54,12.42,15.67,-0.33,27.25,-0.33,50.85,80.93,0.3,0.59,2.1,179.95,0.92,54.36,0.89,165578,2/6/2013 16:30
24,ABCS,Guggenheim ABC High Dividend,Financial,Exchange Traded Fund,USA,,,,,,,,,4.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.94,3.19,5.43,8.02,-6.54,1.03,,0.16,0.41,0.6,-0.1,3.62,2.14,-1.49,12.27,-15.26,12.27,57.51,0.14,0.21,,4.81,0.93,19.35,0.35,4446,
25,ABCW,"Anchor BanCorp Wisconsin, Inc.",Financial,Savings & Loans,USA,13.88,,,,0.09,,0.31,0.26,,,-2.22,71.38,,-14.62,4,-6.94,47.46,-18.61,21.68,20.88,14.93,,13.25,-1.37,10.09,58.5,-0.94,,,,,,,,-24.44,-24.56,0,82.86,68.42,60,128.57,64.1,2.26,0.08,14.94,15.34,29.82,49.67,37.1,-24.71,106.45,-37.25,178.26,63.65,6.67,0,2,36.02,1.21,0.64,6.67,43626,11/8/2011
26,ABFS,Arkansas Best Corporation,Services,Trucking,USA,284.13,221.8,19.46,22.94,0.14,0.6,2.39,21.03,1.08,224.56,0.05,117.89,278.1,-40.64,9.67,0.28,-47.48,13.05,25.62,24.25,0.18,76.58,81.41,-0.81,7.9,5.67,0.16,0.3,0.23,1.29,,0.28,0.42,19.25,-0.1,0.08,7.98,17.23,42.91,0.18,-48.87,16.13,1.61,0.43,4.42,4.57,9.63,22.36,4.09,-1.25,72.47,-50.88,72.47,66.81,-0.72,0.09,2.9,338.05,0.57,11.09,-0.63,192217,1/30/2013 8:30
27,ABG,"Asbury Automotive Group, Inc.",Services,Auto Dealerships,USA,1085.52,13.1,11.8,0.57,0.23,2.82,183.99,,,0,2.63,31.1,11.03,-4.04,22.8,-1.63,91.25,14.39,31.51,30.82,1.48,-58.6,,0.09,4.72,5.56,5.91,23.67,10.07,1.32,0.42,1.12,2.33,16.38,3.99,1.79,1.5,11.45,11.52,31.89,48.75,7.56,2.67,1.05,3.15,3.33,3.66,9.61,21.94,-2.93,24.82,-2.93,62.12,63.07,-0.23,0.35,2.4,261.65,0.63,34.45,0.12,165466,2/19/2013 8:30
28,ABIO,"ARCA biopharma, Inc.",Healthcare,Biotechnology,USA,6.22,,,,,1.86,2.02,,,,-0.43,46.02,,0,,,61.02,,15.96,14.18,2.41,,20.53,10.45,3.93,3.5,-102.61,-113.71,-113.39,11.42,,0,0,,,,2.61,-2.53,29.97,-25.02,-62.15,2.61,1.94,0.03,7.31,9,-0.03,12.88,-7.38,-26.43,69.52,-66.1,69.52,53.88,-2.5,5.24,,159.34,0.23,0.39,2.61,36881,11/14/2012
29,ABM,ABM Industries Inc.,Services,Business Services,USA,1188.86,19.17,14.57,4.56,0.28,1.4,27.36,13.03,2.75,50.45,1.14,-10.05,10.29,2.69,4.2,9.71,49.5,0.8,54.41,50.01,1.62,7.3,86.53,1.93,2.3,4.28,3.35,7.62,4.43,1.62,,0.25,0.25,10.37,2.24,1.46,4.2,8.92,20.72,19.46,3.51,9.52,1.13,0.33,1.66,1.56,6.07,10.14,10.42,0.18,22.39,-8.66,24.25,84.85,-0.05,0.41,2.5,268.59,1.18,21.85,0.37,316232,3/4/2013
30,ABMC,American Bio Medica Corp.,Healthcare,Diagnostic Substances,USA,4.35,,,,0.4,1.18,7.37,,,,-0.05,14.16,,0,,0.28,-242.52,-18.96,21.74,18.7,14,,12,-11.83,0.03,0.27,-11.94,-24.55,-19.61,1.74,0.57,0.2,0.63,39.16,-7.34,-9.66,33.33,33.33,11.11,25,17.65,53.85,1.71,0.01,8.51,5.49,36.05,29.03,16.35,5.26,53.85,0,66.67,77.64,0,11.11,,21.42,0.83,0.2,11.11,17871,8/12/2009 16:30
31,ABMD,Abiomed Inc.,Healthcare,Medical Appliances & Equipment,USA,539.51,40,33.17,1.35,3.7,3.84,6.06,28.65,,0,0.34,111.76,20.59,0,29.65,20.07,758.42,26.93,39.67,39.25,1.62,1.58,,2.27,19.39,7.06,9.46,11.17,10.73,6.3,5.56,0,0,80.99,10.06,9.66,9.06,-0.51,-27.23,-37.3,-26.05,1.19,1.26,0.44,2.97,3.41,4.97,2.14,-29.67,-8.97,15.25,-48.03,15.25,56.54,3.03,0.08,2.3,1078.09,0.74,13.6,3.11,794354,2/6/2013 8:30
32,ABR,Arbor Realty Trust Inc.,Financial,REIT - Diversified,USA,219.06,,22.61,,2.02,0.92,5.36,19.65,6.28,,-0.42,-134.08,-56.94,9.35,8,-10.78,189.65,9.69,31.25,23.22,0.98,64.43,27.75,2.36,0.44,0.59,-0.57,-4.93,-0.58,,,6.05,6.05,34.35,-9.5,-9.02,-2.09,15.87,33.02,35.33,73.51,17.03,3.64,0.21,2.5,3.36,4.39,18.54,26.17,-4.63,48.52,-4.63,77.74,70.18,-1.27,-0.28,2,171.8,1.37,7.01,-1.54,235052,2/27/2013
33,ABT,Abbott Laboratories,Healthcare,Drug Manufacturers - Major,USA,52162.11,8.8,15,1.77,1.31,1.93,,,1.7,,3.75,24.16,12.82,10.13,4.98,9,-35.74,4.43,1580.67,1578.35,0.16,3.69,67.14,-0.14,0.62,0.67,,,,,,,,62.9,16.89,14.95,0.79,6.38,5.91,8.73,28.3,5.67,0.34,0.46,1.18,1.44,0.96,4.48,6.98,-2.6,10.55,-4.49,31.36,61.47,0.58,0.06,2.6,14522.78,0.94,33,0.64,13664881,1/23/2013 8:30
34,ABTL,Autobytel Inc.,Technology,Internet Information Providers,USA,36.2,29.21,15.15,1.17,0.55,1.44,2.64,6.25,,0,0.14,104.59,92.86,14.02,25,-5.6,15.96,7.01,8.85,8.1,0.29,10.57,44.77,1.28,0.22,1.13,3.5,5.56,4.54,2.52,,0.2,0.2,40.5,2.6,2.08,1.74,3.02,5.96,10.24,0.99,2.76,1.39,0.12,3.31,3.05,2.67,4.03,4.77,-1.68,9.07,-22.83,21.36,59.01,0.99,0,1.5,16.09,1.1,4.09,0.99,17648,2/28/2013
35,ABV,Companhia de Bebidas Das Americas (AMBEV),Consumer Goods,Beverages - Brewers,Brazil,142116.32,29.51,25.24,2.69,9.46,10.54,56,70.02,2,55.26,1.54,13.49,10.43,16.56,10.98,9.02,47.89,26.06,3127.56,1531.7,,,19.08,-0.04,0.41,3.49,20.99,37.41,29.69,1,0.8,0.08,0.11,67.93,42.52,32.56,0.87,10.24,12.92,27.82,26.79,8.22,0.94,0.57,0.88,1.27,4.67,8.43,16.07,-0.87,18.5,-0.87,31.86,75.38,-0.31,-0.42,2.4,1785.4,1.09,45.44,-0.72,1949855,3/3/2011 8:30
36,ABX,Barrick Gold Corporation,Basic Materials,Gold,Canada,32586.13,9.72,6.7,2.46,2.3,1.29,12.88,,2.46,22.35,3.35,29.15,25.58,25.85,3.95,20.51,-54.73,-13.47,1001.11,998.69,,,73.94,3.15,0.81,1.03,6.82,14.12,7.72,1.61,0.89,0.5,0.55,49.4,38.38,23.85,-4.38,-4.55,-15.85,-2.63,-31.46,-7.03,0.45,0.72,2.07,2.05,-4.8,-4.74,-11.7,-9.78,-0.38,-34.15,6.17,37.54,-0.97,0.18,2.2,7779.52,0.92,32.55,-0.79,7134499,2/17/2011 8:30
37,ACAD,"ACADIA Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,397.34,,,,77.6,21.48,17.23,,,,-0.36,-211.58,40,0,20,-23.96,53.66,495.55,59.66,59.45,0.17,10.94,87.88,62.98,4.94,0.87,-63.64,-84.44,-80.12,3.89,,0,0,,-378.91,-378.08,27.59,46.05,190.83,329.68,326.92,43.23,2.78,0.34,8.6,6.34,28.2,48.71,168.63,1.83,270,1.83,416.28,74.21,2.3,5.17,2,3360.12,2.25,6.66,7.59,7561971,3/6/2013
38,ACAS,"American Capital, Ltd.",Financial,Asset Management,USA,4110.93,2.75,12.4,0.18,6.57,0.75,13.52,26.35,,0,4.74,-9.11,0,-11.01,15,-7.23,144.56,18.46,315.74,306.11,0.78,-19.33,61.08,-0.44,1.92,1.82,26.88,34.22,27.87,,,0.12,0.16,89.14,56.23,256.71,-0.61,8.05,10.81,34.23,56.3,8.32,2.34,0.23,1.54,1.86,1.19,5.84,19.89,-3.41,17.09,-3.41,62.75,58.54,-0.91,0.31,2.4,3226.24,0.73,13.02,-0.61,2360929,2/5/2013
39,ACAT,Arctic Cat Inc.,Consumer Goods,Recreational Vehicles,USA,499.39,13.61,11.46,0.91,0.76,3.06,,,,,2.77,144.45,15.44,8.25,15,-5.64,41.66,5.31,13.25,12.98,1.76,-11.4,95.18,-0.55,6.95,4.69,,,,,,,,22.64,9.12,5.88,7.23,11.94,-7.4,-0.76,58.29,12.88,2.13,1.4,6.06,3.31,6.51,6.1,-3.13,-2.38,17.34,-20.59,45.3,59.74,-1.59,-0.05,2,192.53,1.59,37.69,-1.64,305223,1/24/2013 8:30
40,ACC,American Campus Communities Inc.,Financial,REIT - Residential,USA,4980.39,72.12,47.13,7.84,11.37,2.06,276.53,,2.84,227.1,0.66,65.09,65.57,47.06,9.2,26.83,-74.6,24.8,104.63,104.44,0.08,-10.67,87.58,0.25,1.47,1.71,1.43,2.71,1.48,,,0.86,0.86,51.72,24.09,11.33,0.08,3.28,8.97,2.17,16.18,3.19,0.76,0.56,0.93,1.15,1.07,4.22,5.95,-1.84,10.8,-1.84,20.47,64.32,-0.63,0.38,2,901.84,0.61,47.6,-0.25,546245,2/12/2013 16:30
41,ACCL,Accelrys Inc.,Technology,Application Software,USA,528.58,45.24,23.75,2.26,3.34,2.14,3.75,32.93,,0,0.21,-2.9,21.21,12.88,20,,126.76,11.72,55.64,55.02,0.09,66.5,87.62,0.08,2.02,6.04,3.28,5.02,4.52,1.67,,0,0,69.87,-10.72,7.61,0.64,1.93,8.7,19.05,27.52,4.97,0.97,0.23,2.56,2.18,1.64,4.66,12.96,-3.75,12.43,-3.75,33.43,56.63,-0.94,0.42,1.8,184.3,0.92,9.5,-0.52,170245,3/6/2013
42,ACCO,ACCO Brands Corporation,Consumer Goods,Office Supplies,USA,987.45,6.66,8.64,0.67,0.63,1.45,7.9,,,0,1.31,136.81,23.17,52.88,10,-6.52,131.93,47.8,113.11,112.15,0.39,41.78,96.1,1.3,10.69,13.48,7.85,43.73,9.5,2.5,1.63,1.77,1.78,29.64,6.83,8.96,-1.8,18.94,45.02,4.43,-10.74,18.94,3.81,0.26,1.89,3.23,7.06,17.53,5.77,-4.69,36.41,-34.36,50.52,70.28,-0.57,0,2,888.86,1.06,8.73,-0.57,946066,2/13/2013 8:30
43,ACCU,Accuvest Global Opportunities ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.36,5.03,11.28,22.47,,2.65,,0.16,0.23,0.23,0.72,5.36,13.17,-1.46,14.35,-1.46,29.29,66.39,-1.09,0.65,,1.28,0.98,29,-0.45,1255,
44,ACE,ACE Limited,Financial,Property & Casualty Insurance,Switzerland,28768.32,10.77,10.73,1.47,1.62,1.07,10.54,9.93,2.32,24.3,7.86,-48.93,5.34,-7.57,7.34,4.78,1719.59,19.66,339.81,338.64,0.47,8.12,91.89,0.29,1.02,2.37,2.95,10.61,,,,0.12,0.19,,17.93,15.18,1.71,5.83,6.14,19.37,21.22,6.09,0.73,1.01,1.06,1.17,2.78,5.27,12.55,-1.24,12.15,-1.24,26.77,64.98,-1.09,0.29,2,1451.12,0.75,84.66,-0.8,1089113,1/29/2013 16:30
45,ACET,Aceto Corp.,Basic Materials,Chemicals - Major Diversified,USA,279.14,14.67,10.17,0.67,0.61,1.61,11.2,,2.14,36.47,0.7,84.31,21.69,8.91,22,7.23,55.46,10.3,27.18,25.88,1.82,11.24,60.3,-0.79,2.05,4.24,6.34,11.2,8.14,2.89,1.61,0.24,0.28,18.69,6.16,4.13,-0.58,5.12,9.96,20.97,45.06,2.19,1.08,0.28,2.07,2.81,0.48,3.74,12.41,-5,13.85,-5,46.84,52.47,-2.38,0.67,1,125.24,0.91,10.27,-1.72,113602,2/7/2013 16:30
46,ACFC,Atlantic Coast Financial Corporation,Financial,Regional - Southeast Banks,USA,9.47,,,,0.27,0.22,1.59,,,,-4.16,22.92,,-50.76,,-3.78,-22.14,-14.54,2.63,2.22,15.53,,14.89,-83.44,0.44,1.85,,,,,,0,2.15,,-36.8,-35.85,37.93,71.43,83.67,50,55.17,79.1,0.9,0.28,12.13,11,45.1,61.54,61.04,-4,146.58,-4,162.77,76.77,0,-1.91,3,5.22,0.2,3.6,-1.91,1059,
47,ACFN,"Acorn Energy, Inc.",Technology,Computer Peripherals,USA,137.49,,,,6.29,2.38,4.33,,1.83,,-0.7,167.22,43.9,10.02,30,35.68,-135.45,0.02,18.02,16.83,5.96,2.87,57.62,-1.98,20.15,37.16,-17,-19.31,-19.27,6.29,5.88,0,0.01,32.23,-74.86,-60.92,2.14,5.39,-6.03,-11.79,17.02,-2.3,0.85,0.26,3.03,4.02,-0.89,-1,-12.59,-9.06,8.07,-41.51,22.85,47.04,-1.29,0,2,91.29,0.73,7.63,-1.29,67067,11/7/2012 16:30
48,ACG,"AllianceBernstein Income Fund, Inc.",Financial,Closed-End Fund - Debt,USA,1996.72,9.79,,,17.23,0.89,49918.01,,5.84,74.78,0.84,-14.52,,1.9,,-9.64,23.47,-9.28,242.91,242.91,,,18.81,-0.54,0.1,0.37,6.26,9.25,6.28,,,0,0,,88.04,175.59,-0.24,0.86,2.37,5.38,12.76,1.48,0.3,0.07,0.95,0.79,0.2,1.98,5.65,-2.03,7.89,-2.03,13.96,55.39,-0.72,0.24,,632.35,1.05,8.22,-0.48,666906,
